Date,Open,High,Low,Close,MA5,MA20,diff
2019-05-03,21.46,21.55,21.45,21.54,21.21,19.53,0.13
2019-05-10,20.96,20.96,20.74,20.8,21.19,19.61,0.08
2019-05-17,20.52,20.53,20.44,20.44,21.06,19.77,0.16
2019-05-24,19.33,19.42,19.33,19.39,20.73,19.88,0.11
2019-05-31,19.16,19.16,19.02,19.05,20.24,20.0,0.12
2019-06-07,18.61,18.63,18.58,18.58,19.65,19.99,-0.01
2019-06-14,19.34,19.37,19.34,19.34,19.36,20.0,0.01
2019-06-21,19.8,19.8,19.59,19.6,19.19,20.04,0.04
2019-06-28,19.72,19.72,19.62,19.65,19.24,20.1,0.06
2019-07-05,20.2,20.3,20.2,20.3,19.49,20.15,0.05
2019-07-12,20.34,20.37,20.33,20.34,19.85,20.19,0.04
2019-07-19,20.44,20.44,20.38,20.39,20.06,20.23,0.04
2019-07-26,20.47,20.5,20.46,20.46,20.23,20.28,0.05
2019-08-02,20.23,20.25,20.17,20.2,20.34,20.28,0.0
2019-08-09,19.42,19.61,19.42,19.6,20.2,20.22,-0.06
2019-08-16,19.32,19.38,19.32,19.35,20.0,20.18,-0.04
2019-08-23,20.05,20.08,20.05,20.07,19.94,20.13,-0.05
2019-08-30,19.98,19.98,19.93,19.93,19.83,20.08,-0.05
2019-09-06,20.35,20.44,20.35,20.44,19.88,20.05,-0.03
2019-09-13,20.5,20.5,20.44,20.44,20.05,20.0,-0.05
2019-09-20,20.34,20.37,20.33,20.33,20.24,19.93,-0.07
2019-09-27,19.83,19.84,19.8,19.83,20.19,19.89,-0.04
2019-10-04,19.47,19.58,19.43,19.58,20.12,19.84,-0.05
2019-10-11,19.44,19.45,19.4,19.4,19.92,19.84,0.0
2019-10-18,20.41,20.41,20.38,20.39,19.91,19.91,0.07
2019-10-25,20.25,20.3,20.14,20.17,19.87,19.99,0.08
2019-11-01,20.41,20.41,20.37,20.37,19.98,20.04,0.05
2019-11-08,20.93,21.0,20.89,20.89,20.24,20.11,0.07
2019-11-15,21.18,21.33,21.18,21.31,20.63,20.19,0.08
2019-11-22,21.46,21.55,21.46,21.5,20.85,20.25,0.06
2019-11-29,21.79,21.8,21.75,21.8,21.17,20.32,0.07
2019-12-06,21.55,21.55,21.44,21.44,21.39,20.38,0.06
2019-12-13,21.91,21.93,21.9,21.9,21.59,20.45,0.07
2019-12-20,23.0,23.0,22.94,22.98,21.92,20.59,0.14
2019-12-27,23.4,23.64,23.4,23.62,22.35,20.79,0.2
2020-01-03,23.78,23.84,23.58,23.58,22.7,21.0,0.21
2020-01-10,24.5,24.58,24.5,24.58,23.33,21.22,0.22
2020-01-17,25.02,25.03,24.99,24.99,23.95,21.48,0.26
2020-01-24,25.13,25.13,25.01,25.05,24.36,21.71,0.23
2020-01-31,25.49,25.62,25.41,25.5,24.74,21.96,0.25
2020-02-07,26.95,26.95,26.87,26.87,25.4,22.29,0.33
2020-02-14,27.45,27.86,27.45,27.86,26.05,22.69,0.4
2020-02-21,28.94,29.07,28.91,28.91,26.84,23.16,0.47
2020-02-28,26.54,26.54,25.96,25.98,27.02,23.48,0.32
2020-03-06,25.56,25.57,25.15,25.15,26.95,23.72,0.24
2020-03-13,21.08,21.82,20.3,21.79,25.94,23.8,0.08
2020-03-20,19.93,20.1,19.34,20.04,24.37,23.79,-0.01
2020-03-27,22.29,22.3,21.69,21.69,22.93,23.83,0.04
2020-04-03,22.04,22.08,21.9,21.9,22.11,23.86,0.03
2020-04-10,22.53,22.9,22.43,22.88,21.66,23.93,0.07
2020-04-17,25.97,26.25,25.97,26.17,22.54,24.14,0.21
2020-04-24,25.01,25.21,25.01,25.2,23.57,24.33,0.19
2020-05-01,26.55,26.8,26.55,26.68,24.57,24.57,0.24
2020-05-08,26.56,26.65,26.5,26.63,25.51,24.75,0.18
2020-05-15,26.51,26.61,26.45,26.49,26.23,24.9,0.15
2020-05-22,28.5,28.51,28.08,28.08,26.62,25.12,0.22
2020-05-29,27.54,27.73,27.46,27.67,27.11,25.28,0.16
2020-06-05,28.64,28.64,28.52,28.55,27.48,25.45,0.17
2020-06-12,28.7,29.39,28.68,29.33,28.02,25.67,0.22
2020-06-19,30.3,30.3,30.0,30.01,28.73,25.89,0.22
2020-06-26,30.5,30.6,30.47,30.56,29.22,26.08,0.19
2020-07-03,31.13,31.13,30.92,30.99,29.89,26.23,0.15
2020-07-10,34.0,34.12,33.81,33.81,30.94,26.48,0.25
2020-07-17,33.89,33.98,33.6,33.65,31.8,26.86,0.38
2020-07-24,33.78,33.78,33.05,33.28,32.46,27.27,0.41
2020-07-31,34.0,34.36,34.0,34.26,33.2,27.89,0.62
2020-08-07,35.62,35.66,35.41,35.45,34.09,28.66,0.77
2020-08-14,35.14,35.57,35.14,35.57,34.44,29.36,0.7
2020-08-21,37.38,37.77,37.38,37.7,35.25,30.15,0.79
2020-08-28,40.72,40.72,40.26,40.55,36.71,31.03,0.88
2020-09-04,39.4,39.53,38.9,39.48,37.75,31.7,0.67
2020-09-11,37.1,37.3,37.01,37.26,38.11,32.3,0.6
2020-09-18,37.5,37.5,37.23,37.37,38.47,32.83,0.53
2020-09-25,37.0,37.15,37.0,37.1,38.35,33.36,0.53
2020-10-02,38.22,38.48,38.07,38.23,37.89,33.94,0.58
2020-10-09,39.16,39.21,39.11,39.18,37.83,34.5,0.56
2020-10-16,40.42,40.47,40.14,40.29,38.43,35.13,0.63
2020-10-23,40.0,40.05,39.75,40.01,38.96,35.7,0.57
2020-10-30,39.0,39.4,38.87,38.87,39.32,36.18,0.48
2020-11-06,40.69,40.73,40.23,40.31,39.73,36.7,0.52
2020-11-13,39.32,39.43,39.15,39.39,39.77,37.14,0.44
2020-11-20,39.45,39.78,39.45,39.73,39.66,37.57,0.43
2020-11-27,40.64,40.64,40.53,40.59,39.78,37.91,0.34
2020-12-04,41.37,41.39,41.25,41.38,40.28,38.3,0.39
2020-12-11,41.61,41.74,41.42,41.45,40.51,38.71,0.41
2020-12-18,43.72,43.8,43.6,43.64,41.36,39.18,0.47
2020-12-25,43.2,43.2,43.1,43.11,42.03,39.56,0.38
2021-01-01,44.34,44.42,44.34,44.38,42.79,40.0,0.44
2021-01-08,44.27,44.45,44.27,44.44,43.4,40.34,0.34
2021-01-15,44.5,44.5,44.1,44.16,43.95,40.52,0.18
2021-01-22,47.05,47.05,46.81,46.86,44.59,40.89,0.37
2021-01-29,46.07,46.24,45.6,45.62,45.09,41.31,0.42
2021-02-05,48.09,48.28,48.03,48.27,45.87,41.85,0.54
2021-02-19,50.3,50.3,49.66,49.92,46.97,42.49,0.64
2021-02-26,47.5,47.63,47.19,47.2,47.57,42.94,0.45
2021-03-05,44.77,44.94,44.32,44.87,47.18,43.22,0.28
2021-03-12,47.12,47.12,46.57,46.65,47.38,43.54,0.32
2021-03-19,45.94,45.94,45.68,45.79,46.89,43.83,0.29
2021-03-26,45.0,45.03,44.74,45.01,45.9,44.14,0.31
2021-04-02,45.71,45.92,45.67,45.91,45.65,44.42,0.28
2021-04-09,48.43,48.5,48.29,48.29,46.33,44.86,0.44
2021-04-16,49.48,49.49,49.4,49.46,46.89,45.35,0.49
2021-04-23,47.28,47.4,47.2,47.38,47.21,45.69,0.34
2021-04-30,48.26,48.39,48.2,48.34,47.88,46.04,0.35
2021-05-07,45.91,45.91,45.8,45.86,47.87,46.26,0.22
2021-05-14,43.2,43.31,43.1,43.24,46.86,46.24,-0.02
2021-05-21,45.0,45.0,44.67,44.82,45.93,46.32,0.08
2021-05-28,45.76,45.76,45.63,45.7,45.59,46.39,0.07
2021-06-04,44.91,45.07,44.89,45.05,44.93,46.42,0.03
2021-06-11,46.13,46.25,46.13,46.24,45.01,46.52,0.1
2021-06-18,47.1,47.14,47.0,47.12,45.79,46.54,0.02
2021-06-25,49.42,49.44,49.29,49.31,46.68,46.72,0.18
2021-07-02,50.2,50.2,50.05,50.15,47.57,46.82,0.1
2021-07-09,49.83,49.95,49.78,49.94,48.55,46.82,0.0
2021-07-16,50.25,50.4,50.0,50.35,49.37,46.97,0.15
2021-07-23,50.25,50.4,50.1,50.2,49.99,47.24,0.27
2021-07-30,49.19,49.35,49.19,49.21,49.97,47.37,0.13
2021-08-06,49.83,49.93,49.82,49.92,49.92,47.58,0.21
2021-08-13,49.01,49.15,49.01,49.06,49.75,47.78,0.2
2021-08-20,47.46,47.46,47.29,47.3,49.14,47.85,0.07
2021-08-27,49.26,49.42,49.23,49.41,48.98,47.9,0.05
2021-09-03,50.65,50.65,50.5,50.6,49.26,47.96,0.06
2021-09-10,50.7,50.85,50.65,50.85,49.44,48.13,0.17
2021-09-17,49.85,50.1,49.84,50.1,49.65,48.22,0.09
2021-09-24,49.73,49.81,49.57,49.57,50.11,48.41,0.19
2021-10-01,48.48,48.48,48.06,48.09,49.84,48.65,0.24
2021-10-08,49.49,49.55,49.3,49.31,49.58,48.87,0.22
2021-10-15,50.55,50.65,50.4,50.65,49.54,49.12,0.25
2021-10-22,52.1,52.2,52.1,52.15,49.95,49.48,0.36
2021-10-29,52.75,52.8,52.6,52.7,50.58,49.8,0.32
2021-11-05,55.0,55.2,55.0,55.15,51.99,50.2,0.4
2021-11-12,53.95,54.0,53.75,53.8,52.89,50.43,0.23
2021-11-19,54.25,54.3,53.9,54.1,53.58,50.62,0.19
2021-11-26,53.6,53.6,53.0,53.1,53.77,50.78,0.16
2021-12-03,51.5,51.5,50.85,51.1,53.45,50.82,0.04
2021-12-10,51.55,51.55,51.3,51.35,52.69,50.88,0.06
2021-12-17,49.55,49.99,49.55,49.84,51.9,50.91,0.03
2021-12-24,51.05,51.1,50.8,50.85,51.25,50.95,0.04
2021-12-31,50.7,50.7,50.4,50.6,50.75,51.03,0.08
2022-01-07,49.73,49.77,49.52,49.53,50.43,51.14,0.11
2022-01-14,48.96,49.04,48.82,49.01,49.97,51.12,-0.02
2022-01-21,47.5,47.5,46.61,46.83,49.36,50.93,-0.19
2022-01-28,43.9,44.16,43.77,44.0,47.99,50.59,-0.34
2022-02-11,45.76,45.76,45.4,45.42,46.96,50.36,-0.23
2022-02-18,44.61,45.08,44.5,45.08,46.07,50.13,-0.23
2022-02-25,42.26,42.44,42.21,42.28,44.72,49.84,-0.29
2022-03-04,42.25,42.62,42.15,42.45,43.85,49.5,-0.34
2022-03-11,41.28,41.29,40.88,40.97,43.24,49.02,-0.48
2022-03-18,42.94,42.94,42.61,42.7,42.7,48.54,-0.48
2022-03-25,47.0,47.03,46.66,46.66,43.01,48.24,-0.3
