Date,Open,High,Low,Close,MA5,MA20,diff,max_20_WK,min_20_WK
2019-05-03,21.39,21.55,21.2,21.54,21.208,19.528,0.13,21.54,16.77
2019-05-10,21.3,21.47,20.74,20.8,21.188,19.612,0.084,21.54,16.77
2019-05-17,20.63,20.63,20.0,20.44,21.06,19.775,0.163,21.54,16.77
2019-05-24,20.3,20.3,19.33,19.39,20.732,19.881,0.106,21.54,16.77
2019-05-31,19.22,19.32,19.02,19.05,20.244,19.995,0.114,21.54,18.44
2019-06-07,18.81,18.81,18.06,18.58,19.652,19.994,-0.001,21.54,18.44
2019-06-14,18.61,19.49,18.61,19.34,19.36,20.002,0.008,21.54,18.44
2019-06-21,19.4,20.03,19.4,19.6,19.192,20.042,0.04,21.54,18.44
2019-06-28,19.65,19.77,19.48,19.65,19.244,20.102,0.06,21.54,18.58
2019-07-05,19.96,20.3,19.89,20.3,19.494,20.148,0.046,21.54,18.58
2019-07-12,20.18,20.38,19.93,20.34,19.846,20.193,0.045,21.54,18.58
2019-07-19,20.4,20.7,20.24,20.39,20.056,20.23,0.037,21.54,18.58
2019-07-26,20.39,20.56,20.16,20.46,20.228,20.283,0.053,21.54,18.58
2019-08-02,20.62,20.66,20.17,20.2,20.338,20.28,-0.003,21.54,18.58
2019-08-09,20.0,20.0,19.11,19.6,20.198,20.224,-0.056,21.54,18.58
2019-08-16,19.63,19.78,19.2,19.35,20.0,20.176,-0.048,21.54,18.58
2019-08-23,19.54,20.23,19.54,20.07,19.936,20.135,-0.041,21.54,18.58
2019-08-30,19.3,19.98,19.27,19.93,19.83,20.078,-0.057,21.54,18.58
2019-09-06,19.89,20.44,19.79,20.44,19.878,20.048,-0.03,21.54,18.58
2019-09-13,20.38,20.5,20.18,20.44,20.046,19.996,-0.052,21.54,18.58
2019-09-20,20.28,20.41,20.21,20.33,20.242,19.935,-0.061,20.8,18.58
2019-09-27,20.17,20.17,19.32,19.83,20.194,19.886,-0.049,20.46,18.58
2019-10-04,19.79,19.85,19.4,19.58,20.124,19.844,-0.042,20.46,18.58
2019-10-11,19.58,19.73,19.4,19.4,19.916,19.844,0.0,20.46,18.58
2019-10-18,19.88,20.44,19.84,20.39,19.906,19.911,0.067,20.46,18.58
2019-10-25,20.05,20.3,19.86,20.17,19.874,19.99,0.079,20.46,19.34
2019-11-01,20.27,20.53,20.23,20.37,19.982,20.042,0.052,20.46,19.35
2019-11-08,20.5,21.0,20.44,20.89,20.244,20.106,0.064,20.89,19.35
2019-11-15,21.12,21.33,20.97,21.31,20.626,20.19,0.084,21.31,19.35
2019-11-22,21.26,21.55,21.18,21.5,20.848,20.25,0.06,21.5,19.35
2019-11-29,21.49,21.8,21.4,21.8,21.174,20.322,0.072,21.8,19.35
2019-12-06,21.8,21.82,21.3,21.44,21.388,20.375,0.053,21.8,19.35
2019-12-13,21.64,21.94,21.52,21.9,21.59,20.447,0.072,21.9,19.35
2019-12-20,21.9,23.0,21.89,22.98,21.924,20.586,0.139,22.98,19.35
2019-12-27,23.15,23.64,23.13,23.62,22.348,20.787,0.201,23.62,19.35
2020-01-03,23.62,23.84,22.98,23.58,22.704,20.998,0.211,23.62,19.4
2020-01-10,23.5,24.58,23.46,24.58,23.332,21.224,0.226,24.58,19.4
2020-01-17,24.56,25.04,24.54,24.99,23.95,21.477,0.253,24.99,19.4
2020-01-24,25.13,25.13,25.01,25.05,24.364,21.708,0.231,25.05,19.4
2020-01-31,25.0,25.62,24.67,25.5,24.74,21.96,0.252,25.5,19.4
2020-02-07,25.15,27.31,25.15,26.87,25.398,22.288,0.328,26.87,19.4
2020-02-14,26.69,27.86,26.69,27.86,26.054,22.689,0.401,27.86,19.4
2020-02-21,27.78,29.38,27.65,28.91,26.838,23.155,0.466,28.91,19.4
2020-02-28,28.33,28.33,25.96,25.98,27.024,23.484,0.329,28.91,20.17
2020-03-06,25.89,26.28,24.68,25.15,26.954,23.722,0.238,28.91,20.17
2020-03-13,23.92,24.11,20.3,21.79,25.938,23.804,0.082,28.91,20.37
2020-03-20,21.29,21.3,18.02,20.04,24.374,23.787,-0.017,28.91,20.04
2020-03-27,19.28,22.95,18.5,21.69,22.93,23.827,0.04,28.91,20.04
2020-04-03,21.48,22.13,21.19,21.9,22.114,23.856,0.029,28.91,20.04
2020-04-10,21.85,23.0,21.85,22.88,21.66,23.926,0.07,28.91,20.04
2020-04-17,22.7,26.25,22.69,26.17,22.536,24.144,0.218,28.91,20.04
2020-04-24,25.7,25.71,24.6,25.2,23.568,24.332,0.188,28.91,20.04
2020-05-01,25.68,26.8,25.5,26.68,24.566,24.571,0.239,28.91,20.04
2020-05-08,25.2,26.65,25.1,26.63,25.512,24.754,0.183,28.91,20.04
2020-05-15,27.1,27.1,26.22,26.49,26.234,24.897,0.143,28.91,20.04
2020-05-22,27.1,28.52,27.1,28.08,26.616,25.122,0.225,28.91,20.04
2020-05-29,28.29,28.64,27.46,27.67,27.11,25.277,0.155,28.91,20.04
2020-06-05,27.96,28.99,27.96,28.55,27.484,25.455,0.178,28.91,20.04
2020-06-12,28.91,30.44,28.68,29.33,28.024,25.668,0.213,29.33,20.04
2020-06-19,28.89,30.3,28.56,30.01,28.728,25.894,0.226,30.01,20.04
2020-06-26,30.0,30.6,29.97,30.56,29.224,26.078,0.184,30.56,20.04
2020-07-03,29.61,31.13,29.38,30.99,29.888,26.235,0.157,30.99,20.04
2020-07-10,31.09,34.12,31.09,33.81,30.94,26.48,0.245,33.81,20.04
2020-07-17,34.41,35.19,33.6,33.65,31.804,26.864,0.384,33.81,20.04
2020-07-24,33.65,35.04,33.05,33.28,32.458,27.27,0.406,33.81,20.04
2020-07-31,33.16,34.36,33.08,34.26,33.198,27.893,0.623,34.26,20.04
2020-08-07,34.86,35.66,34.15,35.45,34.09,28.664,0.771,35.45,21.69
2020-08-14,34.93,35.57,34.15,35.57,34.442,29.358,0.694,35.57,21.9
2020-08-21,35.6,37.77,35.6,37.7,35.252,30.148,0.79,37.7,22.88
2020-08-28,38.47,40.72,38.44,40.55,36.706,31.032,0.884,40.55,25.2
2020-09-04,40.9,42.7,38.9,39.48,37.75,31.697,0.665,40.55,25.2
2020-09-11,39.21,39.44,36.45,37.26,38.112,32.3,0.603,40.55,26.49
2020-09-18,37.26,38.72,37.23,37.37,38.472,32.834,0.534,40.55,26.49
2020-09-25,37.24,37.61,36.3,37.1,38.352,33.358,0.524,40.55,26.49
2020-10-02,37.58,38.5,37.58,38.23,37.888,33.945,0.587,40.55,27.67
